No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'11002008,7.6,7.75,5.4,0,0,0,6.25,8,9.25,7.6,13,7.6,7.6
'11002171,1.6,3.25,0,1.25,2.75,3.25,0,0,0,5.6,2.85,7.6,7.6
'11002081,7.6,5.75,3.2,0,0,0,4.25,7.25,8.25,7.6,10.8,7.6,7.6
'11002570,7.6,8.5,6,0,0,0,8,8,9.25,7.6,13.6,7.6,7.6
'11002829,7.6,7.25,6.4,0,0,0,8,6.5,9.25,7.6,14,7.6,7.6
'11002351,7.6,5.5,3.6,0,0,0,7.75,8.5,9.5,7.6,11.2,7.6,7.6
'11002111,7.6,6.5,3.4,0,0,0,7,7.25,9,7.6,11,7.6,7.6
'11002463,7.6,8.25,4.8,0,0,0,6.5,8,9.5,7.6,12.4,7.6,7.6
'11002472,7.6,8.5,3.6,0,0,0,8,8,8.5,7.6,11.2,7.6,7.6
'11002632,7.6,5.75,3.6,0,0,0,6.5,7.5,9,7.6,11.2,7.6,7.6
'11002221,7.6,8.5,3,0,0,0,9.25,8,9.25,7.6,10.6,7.6,7.6
'11002747,7.4,8,5.2,0,0,0,8,8.5,9.75,7.4,12.6,7.4,7.4
'11002360,7.4,6.5,3.6,0,0,0,3,8.25,9.25,7.4,11,7.4,7.4
'11002268,7.4,7,3.2,0,0,0,5.5,7.25,9,7.4,10.6,7.4,7.4
'11002783,7.4,6.5,5,0,0,0,5.5,8,8.75,7.4,12.4,7.4,7.4
'11002555,7.4,6.5,5,0,0,0,5.75,7,9,7.4,12.4,7.4,7.4
'11002116,7.4,5.75,5.4,0,0,0,6,8.5,8,7.4,12.8,7.4,7.4
'11002802,7.4,5.25,4.2,0,0,0,9,8.25,9,7.4,11.6,7.4,7.4
'11002471,7.4,8,4.2,0,0,0,9,7,9.25,7.4,11.6,7.4,7.4
'11002167,7.4,6.75,5.4,0,0,0,6,7.75,9,7.4,12.8,7.4,7.4
'11002169,7.4,8,5.4,0,0,0,6.25,8,9.25,7.4,12.8,7.4,7.4
