No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'11002228,5.8,5.25,2,0,0,0,6.25,7.5,8.25,5.8,7.8,5.8,5.8
'11002152,5.8,4.75,2.8,0,0,0,6.75,7.75,8.5,5.8,8.6,5.8,5.8
'11002506,5.8,8,3.6,0,0,0,7.5,7.25,8.5,5.8,9.4,5.8,5.8
'11002461,5.8,6.5,2.6,0,0,0,5.25,6.5,8.25,5.8,8.4,5.8,5.8
'11002134,5.8,5.75,4.2,0,0,0,4,6.25,8.25,5.8,10,5.8,5.8
'11002366,5.8,7.25,3.4,0,0,0,4.25,6.75,9.25,5.8,9.2,5.8,5.8
'11002038,5.8,7.25,3,0,0,0,4,6.75,7.75,5.8,8.8,5.8,5.8
'11002294,5.8,3.5,2.2,0,0,0,3.5,6.5,7.25,5.8,8,5.8,5.8
'11002693,5.8,8,2.4,0,0,0,8.25,9,9.5,5.8,8.2,5.8,5.8
'11002144,5.8,8.25,2.6,0,0,0,6,8,8.75,5.8,8.4,5.8,5.8
'11002701,5.8,8.25,6,0,0,0,8,7.5,9,5.8,11.8,5.8,5.8
'11002729,5.8,6.75,4.6,0,0,0,7,7.75,8.5,5.8,10.4,5.8,5.8
'11002833,5.8,5,2.8,0,0,0,5.5,7.75,8,5.8,8.6,5.8,5.8
'11002730,5.8,7.5,3.8,0,0,0,9.25,8.25,9.25,5.8,9.6,5.8,5.8
'11002473,5.8,4,0,0,0,0,5,6,0,5.8,5.8,5.8,5.8
'11002068,5.8,5.5,3.2,0,0,0,3.25,6,7.25,5.8,9,5.8,5.8
'11002043,5.8,6.25,2.2,0,0,0,4.25,7.75,7,5.8,8,5.8,5.8
'11002055,5.8,5.75,3.2,0,0,0,3.75,5.75,7.75,5.8,9,5.8,5.8
'11002480,5.8,4.5,0,0,0,0,6,7.5,0,5.8,5.8,5.8,5.8
'11002750,5.8,5.75,3.4,0,0,0,5.5,6.75,6.75,5.8,9.2,5.8,5.8
'11002575,5.8,5.75,3.2,0,0,0,5.25,2.25,8,5.8,9,5.8,5.8
'11002151,5.8,5,3,0,0,0,2.75,8,9,5.8,8.8,5.8,5.8
'11002440,5.8,6.5,3.2,0,0,0,5.5,7,8.5,5.8,9,5.8,5.8
'11002349,5.8,5.75,3.2,0,0,0,3.5,6.25,8,5.8,9,5.8,5.8
'11002174,5.8,6,3,0,0,0,5.5,9,9.25,5.8,8.8,5.8,5.8
'11002537,5.8,8,0,0,0,0,6.5,7.5,9.5,5.8,5.8,5.8,5.8
'11002780,5.8,7.25,4.8,0,0,0,7.75,8,8.75,5.8,10.6,5.8,5.8
'11002489,5.8,7.5,6,0,0,0,8.5,7,9.5,5.8,11.8,5.8,5.8
'11002588,5.8,5.25,3.2,0,0,0,4.25,6,7.75,5.8,9,5.8,5.8
'11002311,5.8,8,6.2,0,0,0,8,8.75,9.75,5.8,12,5.8,5.8
'11002176,5.8,6,2.2,0,0,0,5.5,7.75,8.5,5.8,8,5.8,5.8
'11002870,5.8,4,3,0,0,0,5,6.75,6.25,5.8,8.8,5.8,5.8
'11002804,5.6,5,2.8,0,0,0,5.75,8,8.5,5.6,8.4,5.6,5.6
'11002286,5.6,5,2.4,0,0,0,3.25,6.75,8.75,5.6,8,5.6,5.6
'11002516,5.6,5.25,5.6,0,0,0,3.75,7,8.5,5.6,11.2,5.6,5.6
'11002241,5.6,6.75,3,0,0,0,5.25,6.75,9.25,5.6,8.6,5.6,5.6
'11002139,5.6,7.75,3.4,0,0,0,5.25,8,8.25,5.6,9,5.6,5.6
'11002550,5.6,5.5,4.4,0,0,0,5,7,8.25,5.6,10,5.6,5.6
'11002375,5.6,5.5,2,0,0,0,4.5,8,8.75,5.6,7.6,5.6,5.6
'11002072,5.6,5.5,2.8,0,0,0,4.75,7.75,7.25,5.6,8.4,5.6,5.6
'11002553,5.6,6.5,3.8,0,0,0,4.75,6.75,8.5,5.6,9.4,5.6,5.6
'11002590,5.6,5.5,2.4,0,0,0,4.5,7.25,8.25,5.6,8,5.6,5.6
'11002554,5.6,6.25,2.8,0,0,0,4.25,5.75,7.25,5.6,8.4,5.6,5.6
'11002593,5.6,5.25,3.4,0,0,0,6.5,7.25,8.75,5.6,9,5.6,5.6
'11002013,5.6,5.5,2.8,0,0,0,4.25,6.25,8,5.6,8.4,5.6,5.6
'11002460,5.6,6.5,3.6,0,0,0,5,5.25,6.75,5.6,9.2,5.6,5.6
'11002558,5.6,7,4.2,0,0,0,5.75,8.25,9.75,5.6,9.8,5.6,5.6
'11002222,5.6,6.33,3.6,0,0,0,5,7.5,8,5.6,9.2,5.6,5.6
'11002354,5.6,6,4,0,0,0,7.25,7.75,8.5,5.6,9.6,5.6,5.6
'11002263,5.6,5.75,3.2,0,0,0,5,6.75,8,5.6,8.8,5.6,5.6
'11002172,5.6,6.5,2.6,0,0,0,5.5,7.5,8.75,5.6,8.2,5.6,5.6
'11002773,5.6,6.25,5.2,0,0,0,8,8.25,9,5.6,10.8,5.6,5.6
'11002779,5.6,6.5,4.2,0,0,0,6.5,7.75,9.25,5.6,9.8,5.6,5.6
'11002209,5.6,5.75,3.2,0,0,0,4,7.25,8.25,5.6,8.8,5.6,5.6
'11002846,5.6,4.5,3,0,0,0,8.25,7.25,9.5,5.6,8.6,5.6,5.6
'11002406,5.6,5.75,4.6,0,0,0,4.75,8,9.75,5.6,10.2,5.6,5.6
'11002339,5.6,3,2.4,0,0,0,4.25,5.5,8.5,5.6,8,5.6,5.6
'11002271,5.6,4.25,3.2,0,0,0,3,5.75,7.25,5.6,8.8,5.6,5.6
'11002646,5.6,5.25,2,0,0,0,6.25,7.75,8.75,5.6,7.6,5.6,5.6
'11002650,5.6,7,3.2,0,0,0,4.75,6,8.75,5.6,8.8,5.6,5.6
'11002118,5.6,6.75,3.2,0,0,0,5,9,8.5,5.6,8.8,5.6,5.6
'11002415,5.6,5.75,3.2,0,0,0,3.75,3.25,7,5.6,8.8,5.6,5.6
'11002666,5.6,7.5,1.6,0,0,0,7.25,8,9.5,5.6,7.2,5.6,5.6
'11002667,5.6,4.25,3.6,0,0,0,4.25,7.25,8.25,5.6,9.2,5.6,5.6
'11002543,5.6,6.5,5.8,0,0,0,6.25,8,9,5.6,11.4,5.6,5.6
'11002683,5.6,6.25,3,0,0,0,7.75,7.5,9.25,5.6,8.6,5.6,5.6
'11002658,5.4,6,3.2,0,0,0,3.75,3,8,5.4,8.6,5.4,5.4
'11002105,5.4,4.25,3.6,0,0,0,3.75,5.75,7.75,5.4,9,5.4,5.4
'11002383,5.4,6,3.4,0,0,0,4.5,8,9.25,5.4,8.8,5.4,5.4
'11002147,5.4,7.25,2.8,0,0,0,4.75,8,9,5.4,8.2,5.4,5.4
'11002299,5.4,5.5,1.6,0,0,0,6.75,6.75,8.75,5.4,7,5.4,5.4
'11002108,5.4,5,3,0,0,0,4.5,6.75,9,5.4,8.4,5.4,5.4
'11002254,5.4,5,2,0,0,0,6,7.75,8.75,5.4,7.4,5.4,5.4
'11002206,5.4,3.75,3,0,0,0,4.75,6.75,9,5.4,8.4,5.4,5.4
'11002808,5.4,6.5,4.4,0,0,0,5.5,7.25,9,5.4,9.8,5.4,5.4
'11002696,5.4,6.5,2.4,0,0,0,6.5,5.75,9.75,5.4,7.8,5.4,5.4
'11002208,5.4,5.25,2,0,0,0,5.75,7.25,8,5.4,7.4,5.4,5.4
'11002030,5.4,5.25,3.4,0,0,0,3.5,6.5,9.25,5.4,8.8,5.4,5.4
'11002704,5.4,6.25,3,0,0,0,6.5,7.75,8.75,5.4,8.4,5.4,5.4
'11002587,5.4,5.25,3.2,0,0,0,4.75,7.5,8.25,5.4,8.6,5.4,5.4
'11002820,5.4,4.75,2.6,0,0,0,6.5,7.25,8.75,5.4,8,5.4,5.4
'11002265,5.4,6.5,3.8,0,0,0,5.5,7.25,8.75,5.4,9.2,5.4,5.4
'11002082,5.4,5.5,2,0,0,0,6,6.25,6,5.4,7.4,5.4,5.4
'11002185,5.4,5,2.2,0,0,0,5.25,5.25,7,5.4,7.6,5.4,5.4
'11002317,5.4,7,3.6,0,0,0,4.25,8.75,10,5.4,9,5.4,5.4
'11002234,5.4,5,3.6,0,0,0,3.5,6.75,8,5.4,9,5.4,5.4
'11002418,5.4,7.25,4.2,0,0,0,5.5,6.5,8.5,5.4,9.6,5.4,5.4
'11002749,5.4,5.75,4.6,0,0,0,5.25,6.75,8.25,5.4,10,5.4,5.4
'11002272,5.4,5,3.4,0,0,0,6,7.5,7.5,5.4,8.8,5.4,5.4
'11002126,5.4,4,3.2,0,0,0,4,7,7.25,5.4,8.6,5.4,5.4
'11002422,5.4,7,2.4,0,0,0,6,6.25,8,5.4,7.8,5.4,5.4
'11002764,5.4,6,4,0,0,0,6,8.25,8.75,5.4,9.4,5.4,5.4
'11002765,5.4,6,3.4,0,0,0,7,7.25,9.5,5.4,8.8,5.4,5.4
'11002220,5.4,6.25,2.8,0,0,0,5.25,7.5,8.25,5.4,8.2,5.4,5.4
'11002620,5.4,5.75,2.6,0,0,0,5,7.5,9,5.4,8,5.4,5.4
'11002843,5.4,5.25,2.6,0,0,0,5.25,6.5,7,5.4,8,5.4,5.4
'11002844,5.4,5.5,2.4,0,0,0,6.25,8,8.25,5.4,7.8,5.4,5.4
'11002238,5.4,5.5,2.2,0,0,0,6,8.25,8.75,5.4,7.6,5.4,5.4
'11002560,5.4,7,2.4,0,0,0,5.25,6.75,8,5.4,7.8,5.4,5.4
'11002159,5.4,2.5,2.2,0,0,0,3.75,6.75,8,5.4,7.6,5.4,5.4
'11002333,5.4,6.5,2.4,0,0,0,4.5,5.25,8.5,5.4,7.8,5.4,5.4
'11002855,5.4,6.5,2.6,0,0,0,5,7.5,9.5,5.4,8,5.4,5.4
'11002336,5.4,5.5,2.8,0,0,0,5.25,8.5,9,5.4,8.2,5.4,5.4
'11002431,5.4,5.5,3,0,0,0,7,6.25,9.25,5.4,8.4,5.4,5.4
'11002374,5.4,5.75,3.4,0,0,0,4.25,7.5,8.5,5.4,8.8,5.4,5.4
'11002647,5.4,6.5,3.4,0,0,0,5,7.75,9.75,5.4,8.8,5.4,5.4
'11002788,5.4,5.75,4.2,0,0,0,5.5,7.75,9,5.4,9.6,5.4,5.4
'11002532,5.4,7,2.8,0,0,0,6.75,6.25,8.75,5.4,8.2,5.4,5.4
'11002653,5.4,7,3,0,0,0,5.75,7.5,9.25,5.4,8.4,5.4,5.4
'11002337,5.4,5,3.4,0,0,0,4.25,7.75,8.5,5.4,8.8,5.4,5.4
'11002871,5.4,5.5,4.4,0,0,0,6,7.75,8.75,5.4,9.8,5.4,5.4
'11002512,5.2,7.75,3.8,0,0,0,5,6.5,7.25,5.2,9,5.2,5.2
'11002766,5.2,6.5,4.8,0,0,0,5.5,7.75,9.25,5.2,10,5.2,5.2
'11002513,5.2,7.25,1.8,0,0,0,4,6.75,8,5.2,7,5.2,5.2
'11002449,5.2,8,3.2,0,0,0,7.75,7.5,8.5,5.2,8.4,5.2,5.2
'11002015,5.2,6.5,4.8,0,0,0,4.75,6.25,8.25,5.2,10,5.2,5.2
'11002679,5.2,7,4.4,0,0,0,7.25,8.5,10,5.2,9.6,5.2,5.2
'11002252,5.2,5.75,1.4,0,0,0,5.5,7.75,8.5,5.2,6.6,5.2,5.2
'11002404,5.2,6,3.2,0,0,0,4,6.5,8.75,5.2,8.4,5.2,5.2
'11002603,5.2,8,2.8,0,0,0,5.5,7.25,8.5,5.2,8,5.2,5.2
'11002572,5.2,4,3,0,0,0,3.75,4.75,7,5.2,8.2,5.2,5.2
'11002615,5.2,6,3.2,0,0,0,7.25,7.5,8.5,5.2,8.4,5.2,5.2
'11002700,5.2,7.5,3,0,0,0,5.25,7.25,8.5,5.2,8.2,5.2,5.2
'11002371,5.2,5.25,3.6,0,0,0,3.75,8.5,8.75,5.2,8.8,5.2,5.2
'11002253,5.2,7.5,4.2,0,0,0,3.25,7.5,9,5.2,9.4,5.2,5.2
'11002726,5.2,6.5,4.6,0,0,0,7.25,8,8.75,5.2,9.8,5.2,5.2
'11002623,5.2,6.5,2.2,0,0,0,6,6.25,8.75,5.2,7.4,5.2,5.2
'11002794,5.2,6.58,3.8,0,0,0,6.5,7.75,9,5.2,9,5.2,5.2
'11002216,5.2,4.5,2.8,0,0,0,4.5,7,7.75,5.2,8,5.2,5.2
'11002256,5.2,4,2.4,0,0,0,6,6,7.75,5.2,7.6,5.2,5.2
'11002414,5.2,7,2.8,0,0,0,4.5,5.5,8,5.2,8,5.2,5.2
'11002080,5.2,5.5,3,0,0,0,5.25,6.5,8.75,5.2,8.2,5.2,5.2
'11002745,5.2,6,2.6,0,0,0,4.25,6,8,5.2,7.8,5.2,5.2
'11002168,5.2,7,2,0,0,0,3.25,7.25,8.25,5.2,7.2,5.2,5.2
'11002129,5.2,5,3.2,0,0,0,4,6.75,8.5,5.2,8.4,5.2,5.2
'11002390,5.2,6.75,3.2,0,0,0,6.75,7.75,9,5.2,8.4,5.2,5.2
'11002189,5.2,5.5,2.6,0,0,0,4.75,7.25,8.25,5.2,7.8,5.2,5.2
'11002753,5.2,6.25,3.6,0,0,0,8,6.5,7.5,5.2,8.8,5.2,5.2
'11002245,5.2,6.5,3.8,0,0,0,6.75,8.25,8.75,5.2,9,5.2,5.2
'11002510,5.2,7.5,5,0,0,0,9.25,8.5,8.75,5.2,10.2,5.2,5.2
'11002763,5.2,7,4.2,0,0,0,4.5,7,8.25,5.2,9.4,5.2,5.2
'11002098,5.2,5.5,3,0,0,0,3,6,7.75,5.2,8.2,5.2,5.2
'11002801,5,4.5,3.4,0,0,0,5.5,8,8.75,5,8.4,5,5
'11002426,5,5.75,3.2,0,0,0,6,7.25,7.25,5,8.2,5,5
'11002509,5,6,2.6,0,0,0,3.5,6,6.75,5,7.6,5,5
'11002284,5,7.5,3.2,0,0,0,4.75,7,8.5,5,8.2,5,5
'11002594,5,5.25,1.8,0,0,0,5.25,7.25,8.25,5,6.8,5,5
'11002722,5,8.25,4,0,0,0,4.5,7.25,8.75,5,9,5,5
'11002428,5,6.5,4.2,0,0,0,5.5,6.5,7.5,5,9.2,5,5
'11002057,5,6.17,2.8,0,0,0,7,7.5,8.5,5,7.8,5,5
'11002175,5,4.25,2.2,0,0,0,4.25,7,9,5,7.2,5,5
'11002106,5,5,1.6,0,0,0,5,6.25,8.5,5,6.6,5,5
'11002210,5,6.25,3,0,0,0,5.75,7,7.75,5,8,5,5
'11002474,5,6.5,2.2,0,0,0,4.75,7,8.5,5,7.2,5,5
'11002608,5,5.75,2.2,0,0,0,5,7.75,9.25,5,7.2,5,5
'11002225,5,3.5,3.2,0,0,0,4,8,8,5,8.2,5,5
'11002331,5,5.75,3.2,0,0,0,5,6.5,8.5,5,8.2,5,5
'11002211,5,5.75,3.8,0,0,0,6.75,8,9,5,8.8,5,5
'11002562,5,6.5,3.8,0,0,0,8.25,8.5,9.75,5,8.8,5,5
'11002119,5,6,3.8,0,0,0,3,7,7,5,8.8,5,5
'11002365,5,5,2.4,0,0,0,3.5,6.75,6.75,5,7.4,5,5
'11002631,5,4,2.4,0,0,0,2.75,0,0,5,7.4,5,5
'11002303,5,4.25,3.4,0,0,0,6.75,7.25,8.25,5,8.4,5,5
'11002267,5,6.25,2,0,0,0,3.5,8.25,6.75,5,7,5,5
'11002640,5,5,2.2,0,0,0,5,6,9,5,7.2,5,5
'11002529,5,6.25,2.8,0,0,0,5.25,6.5,7.75,5,7.8,5,5
'11002445,5,5.75,2.8,0,0,0,4.75,5.5,6.25,5,7.8,5,5
'11002488,5,7.5,4.2,0,0,0,4.75,7,8,5,9.2,5,5
'11002242,5,6.25,3.6,0,0,0,5,6,7.75,5,8.6,5,5
'11002005,5,5.75,3.2,0,0,0,4.25,6.5,8.25,5,8.2,5,5
'11002230,5,4.25,3.4,0,0,0,3.75,7.5,8.25,5,8.4,5,5
'11002115,5,4.75,5.6,0,0,0,6.75,6.75,7,5,10.6,5,5
'11002182,5,4.25,3.2,0,0,0,4.75,6.25,8,5,8.2,5,5
'11002314,5,5.92,3.6,0,0,0,5,7.5,7.25,5,8.6,5,5
'11002500,5,6.25,3,0,0,0,6.5,7.25,8,5,8,5,5
'11002675,5,6,1.8,0,0,0,5,6.5,8,5,6.8,5,5
'11002347,5,5.5,1.6,0,0,0,6.25,7.5,8.25,5,6.6,5,5
'11002585,5,7,3.6,0,0,0,5.25,6.75,7.25,5,8.6,5,5
'11002459,5,6,3,0,0,0,5.25,6.25,8,5,8,5,5
'11002504,5,8.5,3.2,0,0,0,5,7.5,8.75,5,8.2,5,5
'11002689,5,5.25,3.2,0,0,0,4.75,7,9,5,8.2,5,5
'11002690,5,6,3.6,0,0,0,6.75,8,9.75,5,8.6,5,5
'11002505,5,7,3.2,0,0,0,5.5,6.5,8.5,5,8.2,5,5
'11002280,5,2.75,1.8,0,0,0,3.25,6.75,7,5,6.8,5,5
'11002800,5,5.5,2.4,0,0,0,3.5,5.5,5.75,5,7.4,5,5
'11002065,4.8,5.5,2.6,0,0,0,7.25,8.25,8.75,4.8,7.4,4.8,4.8
'11002113,4.8,4.25,1,0,0,0,4.5,6.5,5.75,4.8,5.8,4.8,4.8
'11002302,4.8,4,2.8,0,0,0,3.5,7.75,9,4.8,7.6,4.8,4.8
'11002364,4.8,6.5,5.2,0,0,0,6.5,8.5,8,4.8,10,4.8,4.8
'11002498,4.8,5.25,1,0,0,0,4.75,5.5,6.75,4.8,5.8,4.8,4.8
'11002260,4.8,5.5,2.6,0,0,0,5.75,5.5,7.25,4.8,7.4,4.8,4.8
'11002501,4.8,6.75,4.2,0,0,0,5.5,7,8,4.8,9,4.8,4.8
'11002828,4.8,4.25,2.8,0,0,0,6.25,7.25,8.5,4.8,7.6,4.8,4.8
'11002568,4.8,5.5,2.2,0,0,0,5.25,8.25,7,4.8,7,4.8,4.8
'11002830,4.8,7.75,4.8,0,0,0,6.75,8,9.25,4.8,9.6,4.8,4.8
'11002774,4.8,6.75,3.2,0,0,0,5,7.25,8.5,4.8,8,4.8,4.8
'11002776,4.8,5.5,3.4,0,0,0,5.5,7,8.5,4.8,8.2,4.8,4.8
'11002694,4.8,8.25,3.6,0,0,0,4.5,8,10,4.8,8.4,4.8,4.8
'11002193,4.8,6.42,3.8,0,0,0,3.5,6.25,7.25,4.8,8.6,4.8,4.8
'11002467,4.8,6.25,4,0,0,0,5.25,6,6.5,4.8,8.8,4.8,4.8
'11002470,4.8,6,0,0,0,0,4,7.25,0,4.8,4.8,4.8,4.8
'11002325,4.8,6,3.2,0,0,0,2.75,6,7.5,4.8,8,4.8,4.8
'11002438,4.8,6.75,3.2,0,0,0,9,8.75,8.25,4.8,8,4.8,4.8
'11002705,4.8,6.25,3,0,0,0,6.25,8,7.75,4.8,7.8,4.8,4.8
'11002368,4.8,5.75,2.8,0,0,0,4.5,7.75,9,4.8,7.6,4.8,4.8
'11002369,4.8,6,3.4,0,0,0,4.25,7,8.25,4.8,8.2,4.8,4.8
'11002576,4.8,7,3,0,0,0,4.5,8,8.5,4.8,7.8,4.8,4.8
'11002344,4.8,4.25,3.2,0,0,0,4.75,7.25,9.75,4.8,8,4.8,4.8
'11002476,4.8,5.25,4.6,0,0,0,6,7.25,8,4.8,9.4,4.8,4.8
'11002326,4.8,7,2.2,0,0,0,4.75,7.25,9.75,4.8,7,4.8,4.8
'11002799,4.8,6.5,3.2,0,0,0,4.5,6.5,7.5,4.8,8,4.8,4.8
'11002130,4.8,7.5,3.2,0,0,0,6,8,9.25,4.8,8,4.8,4.8
'11002856,4.8,6,3.6,0,0,0,7,7.75,8,4.8,8.4,4.8,4.8
'11002350,4.8,5.5,3.2,0,0,0,4,6.5,8.5,4.8,8,4.8,4.8
'11002049,4.8,5,2.8,0,0,0,2.75,6.5,7.5,4.8,7.6,4.8,4.8
'11002137,4.8,4,4,0,0,0,3,6.25,7.75,4.8,8.8,4.8,4.8
'11002101,4.8,6,2.2,0,0,0,6.5,8.25,9,4.8,7,4.8,4.8
'11002863,4.8,5.5,3.2,0,0,0,5,7.25,8.5,4.8,8,4.8,4.8
'11002141,4.8,8.5,3.6,0,0,0,6.5,7.5,9.25,4.8,8.4,4.8,4.8
'11002386,4.8,6,2.6,0,0,0,5,7,9.25,4.8,7.4,4.8,4.8
'11002313,4.8,6.5,3.4,0,0,0,3.75,7.75,8.5,4.8,8.2,4.8,4.8
'11002591,4.8,5.25,0,0,0,0,4.5,6.5,0,4.8,4.8,4.8,4.8
'11002297,4.8,4.5,2,0,0,0,4.25,6.25,7.5,4.8,6.8,4.8,4.8
'11002651,4.6,8.25,4.4,0,0,0,4.25,6.25,9,4.6,9,4.6,4.6
'11002732,4.6,5.5,3.2,0,0,0,6,8,9.5,4.6,7.8,4.6,4.6
'11002786,4.6,5.75,4,0,0,0,6,7,8,4.6,8.6,4.6,4.6
'11002084,4.6,4.25,3.4,0,0,0,4.5,6.25,6.75,4.6,8,4.6,4.6
'11002520,4.6,5.5,2.6,0,0,0,3.75,5.25,6.25,4.6,7.2,4.6,4.6
'11002499,4.6,6.5,3.8,0,0,0,6,5.75,8.75,4.6,8.4,4.6,4.6
'11002200,4.6,5,2.6,0,0,0,4.25,7.75,8,4.6,7.2,4.6,4.6
'11002453,4.6,5.5,4.4,0,0,0,5.75,7.75,6.75,4.6,9,4.6,4.6
'11002380,4.6,6,3.8,0,0,0,5.25,6.75,8.5,4.6,8.4,4.6,4.6
'11002202,4.6,2.75,3.2,0,0,0,6.5,6,7,4.6,7.8,4.6,4.6
'11002156,4.6,4.5,4.6,0,0,0,4.5,6.75,8,4.6,9.2,4.6,4.6
'11002752,4.6,4,4.2,0,0,0,5.75,6.25,8.75,4.6,8.8,4.6,4.6
'11002616,4.6,6,3.4,0,0,0,4.75,7.5,8.75,4.6,8,4.6,4.6
'11002413,4.6,5,0,0,0,0,3.25,5.5,0,4.6,4.6,4.6,4.6
'11002758,4.6,5.75,2.8,0,0,0,4.5,6,6.75,4.6,7.4,4.6,4.6
'11002067,4.6,5.25,3.4,0,0,0,3.75,7,7,4.6,8,4.6,4.6
'11002250,4.6,3.5,2.2,0,0,0,3.5,6,7,4.6,6.8,4.6,4.6
'11002625,4.6,5.25,2.2,0,0,0,5,6.5,9.25,4.6,6.8,4.6,4.6
'11002348,4.6,4.5,2.2,0,0,0,2.5,6.5,9.75,4.6,6.8,4.6,4.6
'11002251,4.6,5,4,0,0,0,3.75,7.75,7.25,4.6,8.6,4.6,4.6
'11002393,4.6,6.25,2.4,0,0,0,6.25,6.5,8.75,4.6,7,4.6,4.6
'11002810,4.6,5,3.2,0,0,0,6.5,8.25,9.25,4.6,7.8,4.6,4.6
'11002394,4.6,5.25,2,0,0,0,7.5,9,8.5,4.6,6.6,4.6,4.6
'11002465,4.6,6.25,2,0,0,0,4,7.25,8,4.6,6.6,4.6,4.6
'11002315,4.6,6.75,3,0,0,0,4.5,5.75,8.25,4.6,7.6,4.6,4.6
'11002817,4.6,5.25,2.8,0,0,0,7,8.5,8.75,4.6,7.4,4.6,4.6
'11002373,4.6,6.5,2.6,0,0,0,5,7.25,8.75,4.6,7.2,4.6,4.6
'11002399,4.6,5,3.2,0,0,0,4.5,8,8.75,4.6,7.8,4.6,4.6
'11002544,4.6,5.25,3.2,0,0,0,3.75,5.25,6.25,4.6,7.8,4.6,4.6
'11002649,4.6,6.75,2.4,0,0,0,4.25,6.25,7.5,4.6,7,4.6,4.6
'11002824,4.6,5.25,2.4,0,0,0,5.5,7,8.5,4.6,7,4.6,4.6
'11002363,4.6,6.75,3,0,0,0,4,7.25,8.75,4.6,7.6,4.6,4.6
'11002381,4.4,4.75,2,0,0,0,3.75,6.75,8,4.4,6.4,4.4,4.4
'11002610,4.4,6.25,4,0,0,0,5.5,8,9.25,4.4,8.4,4.4,4.4
'11002120,4.4,5.58,2.8,0,0,0,4.75,8.25,7.25,4.4,7.2,4.4,4.4
'11002768,4.4,5.25,4,0,0,0,4.5,5.25,7.75,4.4,8.4,4.4,4.4
'11002821,4.4,4,2.2,0,0,0,4.25,6.75,8.25,4.4,6.6,4.4,4.4
'11002059,4.4,4.5,4.4,0,0,0,6,6.75,7.5,4.4,8.8,4.4,4.4
'11002420,4.4,4.5,2.2,0,0,0,3,6.25,7.25,4.4,6.6,4.4,4.4
'11002091,4.4,5.75,3.8,0,0,0,4.5,6.25,7.25,4.4,8.2,4.4,4.4
'11002361,4.4,8.5,2.4,0,0,0,6.75,7.5,9.5,4.4,6.8,4.4,4.4
'11002698,4.4,8,3.2,0,0,0,6.5,8,10,4.4,7.6,4.4,4.4
'11002362,4.4,5.5,3.4,0,0,0,4.25,7,8.5,4.4,7.8,4.4,4.4
'11002070,4.4,6,2.2,0,0,0,3.75,5.5,9,4.4,6.6,4.4,4.4
'11002269,4.4,6,3.8,0,0,0,3.25,5.5,7.75,4.4,8.2,4.4,4.4
'11002782,4.4,4.75,4.2,0,0,0,6.5,6.75,7.25,4.4,8.6,4.4,4.4
'11002157,4.4,4.25,2.2,0,0,0,3.75,6.25,8,4.4,6.6,4.4,4.4
'11002320,4.4,5,3.4,0,0,0,4.75,7,7.75,4.4,7.8,4.4,4.4
'11002707,4.4,5.5,4,0,0,0,6.5,6.75,8,4.4,8.4,4.4,4.4
'11002713,4.4,6.5,2,0,0,0,5.5,6.75,8.25,4.4,6.4,4.4,4.4
'11002633,4.4,4,3.4,0,0,0,4.75,6.75,9,4.4,7.8,4.4,4.4
'11002112,4.4,5,3.2,0,0,0,5.5,8,9.25,4.4,7.6,4.4,4.4
'11002636,4.4,6,2.2,0,0,0,4.75,6,9,4.4,6.6,4.4,4.4
'11002495,4.4,6.75,3.4,0,0,0,5.75,6.75,8.75,4.4,7.8,4.4,4.4
'11002173,4.4,6.25,4.8,0,0,0,6,7.5,9.75,4.4,9.2,4.4,4.4
'11002273,4.4,5.5,2,0,0,0,2.25,7.5,7.5,4.4,6.4,4.4,4.4
'11002527,4.4,5.5,2,0,0,0,4,6.25,6.5,4.4,6.4,4.4,4.4
'11002304,4.4,4.5,4.8,0,0,0,3.5,6.75,8.25,4.4,9.2,4.4,4.4
'11002328,4.4,5.25,3.2,0,0,0,4.75,8,8.5,4.4,7.6,4.4,4.4
'11002274,4.4,6,1.6,0,0,0,5.75,7,8,4.4,6,4.4,4.4
'11002436,4.4,5.25,2.4,0,0,0,5,7.25,9.25,4.4,6.8,4.4,4.4
'11002050,4.4,5,0,0,0,0,4.5,0,0,4.4,4.4,4.4,4.4
'11002140,4.4,4.75,2.2,0,0,0,3.25,6.75,7.25,4.4,6.6,4.4,4.4
'11002412,4.4,5,0,0,0,0,5.5,7.5,0,4.4,4.4,4.4,4.4
'11002566,4.4,4,0,0,0,0,3.5,6,0,4.4,4.4,4.4,4.4
'11002165,4.4,6.75,3.2,0,0,0,6.75,7.5,8.5,4.4,7.6,4.4,4.4
'11002673,4.4,5.58,2.6,0,0,0,4.5,7,8.75,4.4,7,4.4,4.4
'11002809,4.4,5,3.6,0,0,0,4.25,6.75,7.75,4.4,8,4.4,4.4
'11002759,4.4,7.25,5.6,0,0,0,7,6.25,8.75,4.4,10,4.4,4.4
'11002194,4.4,5,2.8,0,0,0,2.75,5.75,7.25,4.4,7.2,4.4,4.4
'11002288,4.4,5,1.8,0,0,0,4.25,6,6.25,4.4,6.2,4.4,4.4
'11002606,4.4,6,4.2,0,0,0,6.25,7.75,10,4.4,8.6,4.4,4.4
'11002408,4.2,5,2.6,0,0,0,2.5,5.5,7,4.2,6.8,4.2,4.2
'11002128,4.2,4.5,3,0,0,0,3.5,7,6,4.2,7.2,4.2,4.2
'11002656,4.2,5,3,0,0,0,5.75,8,9.25,4.2,7.2,4.2,4.2
