'11000088;6.8;6.25;3.4;0;0;0;5.5;6.25;9.25
'11000089;5.6;5.75;2;0;0;0;5.75;8;8.75
'11000090;6.6;7;2.6;0;0;0;3.75;7.25;8.75
'11000091;5.8;5.5;4.6;0;0;0;6.25;7.75;8.5
'11000092;5;4;2.6;0;0;0;6;7.5;8.5
'11000093;3.4;3.25;3;0;0;0;0;0;0
'11000094;4.4;6.25;3.4;0;0;0;5.25;5;8.5
'11000095;7.2;7;4.2;0;0;0;7.75;7.5;9.5
'11000096;6;5;4.2;0;0;0;5;8.25;8.75
'11000097;7.4;6.5;3.8;0;0;0;8.75;8;9
'11000098;2.6;4;0;0;0;0;4;5.5;0
'11000099;5.4;4.25;1.8;0;0;0;4.5;7;8.5
'11000100;3.8;5.25;3;0;0;0;6.25;7.25;9
'11000101;2.2;3.25;0;0;0;0;6;5.75;0
'11000102;5.8;5;5;0;0;0;6.5;8;8.75
'11000103;6;5.75;0;0;0;0;6.25;6.75;0
'11000104;4.2;5.5;2.6;0;0;0;5.75;6.5;9.5
'11000105;4.4;5;0;0;0;0;5;6.25;0
'11000106;5;5.75;2.2;0;0;0;5.5;7.5;9.25
'11000107;2.8;5.25;2.2;0;0;0;4.5;6;7.25
'11000108;4.6;5;3;0;0;0;3.25;6.25;7.25
'11000109;4.8;4.25;3;0;0;0;5.5;7;8.75
'11000110;7;6.5;5.6;0;0;0;5.5;7.75;9
'11000111;8.6;7.5;8.6;0;0;0;9.5;8.5;10
'11000112;3.2;6.25;2.2;0;0;0;4.5;6.5;7.5
'11000113;3.4;6.25;2.4;0;0;0;3.75;5.25;8.25
'11000114;2.4;4;2.6;0;0;0;4.75;6.5;7.75
'11000115;6.4;5.5;2.4;0;0;0;4.75;7.25;9.5
'11000116;4.4;4.5;2.8;0;0;0;4.75;6;7.75
'11000117;4;4;3;0;0;0;6;6.75;8
'11000118;5.6;5.75;3;0;0;0;4.5;6.5;8.75
'11000119;2.4;3.5;0;0;0;0;2.75;6.75;0
'11000120;6.6;5.5;2.6;0;0;0;4.25;7.5;8.5
'11000121;4.8;4.5;2;0;0;0;4.5;7.25;8.5
'11000122;5.2;6.5;4.2;0;0;0;5.25;7.5;8.25
'11000123;5;4.25;2.8;0;0;0;3.5;6.25;8.5
'11000124;6.2;5.25;3.8;0;0;0;2.5;7.5;9.25
'11000125;5.6;6.75;3.2;0;0;0;5.5;8;9.75
'11000126;4.6;5.5;0;0;0;0;3.75;5;0
'11000127;4.8;6.5;3.4;0;0;0;5.75;7.5;8.5
'11000128;8.8;7.25;2.4;7;8;7.25;0;0;0
'11000129;5.6;5.5;2.4;0;0;0;5.25;6.5;8.75
'11000130;4.2;3.5;2.2;0;0;0;4.25;7;7.75
'11000131;5.6;6.25;3.2;0;0;0;4.75;7.25;9.75
'11000132;6;7;2.4;0;0;0;6;6.5;9.25
'11000133;6;8.25;7.2;0;0;0;8.75;8.25;8.5
'11000134;6.2;7;3.8;0;0;0;5;8;9.25
'11000135;6.4;5.75;1.6;0;0;0;3;7;7.25
'11000136;5;7.5;4.6;0;0;0;8.5;8.75;8.5
'11000137;4;4.5;3.4;0;0;0;3.75;6.5;7.25
'11000138;4.6;5;2.4;0;0;0;4.25;6.75;9
'11000139;4.8;4;3.2;0;0;0;5.75;8;9.25
'11000140;1.8;4;2;0;0;0;3.25;0;0
'11000141;0;7;0;0;0;0;9.25;8.75;0
'11000142;4.4;6;3.8;0;0;0;7.25;7.75;9.5
'11000143;6;6.75;3;0;0;0;5.25;6.75;9.25
'11000144;5.6;6.75;4.2;0;0;0;8;7.75;9.5
'11000145;6.6;4.5;2.6;0;0;0;4.75;5.25;8.5
'11000146;4.8;6.25;3.2;0;0;0;6.5;7.75;8.5
'11000147;5.8;6;2.8;0;0;0;3.5;7.5;9.25
'11000148;4.4;5.5;3.8;0;0;0;4;6.75;8.75
'11000149;7;6;4.2;0;0;0;7.5;8.5;8.5
'11000150;4.8;6.75;4.6;0;0;0;5.25;8.25;8.75
'11000151;7;6.75;5.2;5.75;6;5.25;0;0;0
'11000152;4;5;2.2;0;0;0;3.5;7;8
'11000153;5.4;4.5;2.2;0;0;0;4.75;7.25;7.25
'11000154;5.8;4.5;2.8;0;0;0;4;7.75;8.75
'11000155;5.4;6.25;4.8;0;0;0;5.75;8.25;9
'11000156;5.2;6;3.2;0;0;0;5.5;7.75;7.75
'11000157;6;5.75;3;0;0;0;4.25;7.25;8.5
'11000158;5.8;5.75;2.6;0;0;0;3;7.25;9.25
'11000159;5;5.75;2;0;0;0;6.75;8;8.75
'11000160;4.4;4;3.4;0;0;0;0;0;0
'11000161;5;4.5;2.8;0;0;0;5.25;8;9.25
'11000162;2.4;3;3.2;0;0;0;0;0;0
'11000163;5.6;5.5;2.8;0;0;0;4.75;7.5;9
'11000164;3.8;4.25;0;0;0;0;3.75;5.25;0
'11000165;4;5.25;2.6;0;0;0;4;6.25;7.75
'11000166;6.4;5.75;4.4;0;0;0;3.75;8.5;9.5
'11000167;7.4;6.25;4;0;0;0;4;8.5;9.5
'11000168;5.2;4.75;3.4;0;0;0;7;7.25;9
'11000169;3.2;3.25;2;0;0;0;4.5;5.25;7.25
'11000170;5;4.5;2.4;0;0;0;5.5;7;9.25
'11000171;6;6.25;2.6;0;0;0;3.75;7;9.25
'11000172;4.8;4.75;5.2;0;0;0;3.25;4.25;8
'11000173;4.6;6;4.8;0;0;0;3.75;6;7.75
'11000174;6.2;5.5;4.6;0;0;0;8.75;9;9
'11000175;7.6;7.5;5.2;6.75;6.75;6.75;0;0;0
'11000176;7.4;7.5;5.6;0;0;0;9.25;8.75;9.5
'11000177;4.2;4.75;3;0;0;0;3.5;7;8
'11000178;3.4;5.75;0;0;0;0;5.25;7;0
'11000179;6.2;6.5;3.6;0;0;0;7.25;7.25;9
'11000180;4.8;5.5;3.2;0;0;0;7.25;7.25;9.25
'11000181;4.4;4;0;0;0;0;3.5;5;0
'11000182;5.6;5;3.2;0;0;0;5;8.75;8.25
'11000183;6;6.75;4.2;0;0;0;6.25;6.75;8.25
'11000184;6;6;2.6;0;0;0;3.75;6.5;7.75
'11000185;7.8;8;3.6;7.5;8;6;0;0;0
'11000186;3;3.25;2.2;0;0;0;3.5;6;7.75
'11000187;7.4;7;4.6;0;0;0;5.5;7.75;8.5
'11000188;6.4;5.5;4.4;0;0;0;3.75;8.5;9
'11000189;2.6;3.5;0;0;0;0;1.75;2.5;0
'11000190;2.6;2.75;0;0;0;0;5;4;0
'11000191;4.6;5.25;3.8;0;0;0;4.25;7;9
'11000192;5.4;4.25;3;0;0;0;6.5;8.25;9.5
'11000193;7.2;5.5;5.2;6;4.25;4.5;0;0;0
'11000194;3.4;5.25;1.8;0;0;0;4.5;4.5;8
'11000195;7.4;5.75;3.2;0;0;0;5.25;6.5;8.75
'11000196;0;6.75;0;0;0;0;7;8.25;0
'11000197;6;4.75;3.8;0;0;0;3;6.75;6.25
'11000198;7.2;5;4.2;0;0;0;7.75;8.5;8.75
'11000199;7.8;6.5;4;0;0;0;6.5;9.25;9.75
'11000200;8;8.25;5.4;0;0;0;9.25;9;9.75
'11000201;2.8;3.75;2.6;0;0;0;3.5;6.75;8.5
'11000202;1.8;2.5;2.2;0;0;0;0;0;0
'11000203;6;6.25;3.8;0;0;0;6;7.75;9.75
'11000204;6.2;6.5;6.6;0;0;0;6.25;8.25;9.5
'11000205;4.8;7.25;3.2;0;0;0;6.25;7.5;9
'11000206;6.4;4.5;3;0;0;0;5.5;7.25;8
'11000207;4.2;5;2.2;0;0;0;4.5;7;7.75
'11000208;5.6;5;2.6;0;0;0;6.5;8;9.5
'11000209;8;6;5.4;8.25;5.75;6.5;0;0;0
'11000210;3;5.5;2.6;0;0;0;3.5;4;7.25
'11000211;2.4;3.75;0;0;0;0;5.5;6.25;0
'11000212;3;5.25;0;0;0;0;5.25;5.75;0
'11000213;7.6;7;4.6;0;0;0;9;8;9.5
'11000214;4.6;6.75;3.2;0;0;0;4.75;7;8.5
'11000215;4.4;4.75;2.2;0;0;0;3.75;6.5;8.75
'11000216;8.4;0;6.8;8.5;0;0;0;0;0
'11000217;3.6;3.75;2.6;0;0;0;4;7;8.5
'11000218;5;5.25;1.8;0;0;0;5;8.25;8.75
'11000219;5.6;5.5;3.4;0;0;0;6.5;8.25;9.25
'11000220;4.4;7.75;5.8;0;0;0;0;0;0
'11000221;6;6.75;3.4;0;0;0;7.75;7.75;8.75
'11000222;6;5.5;2.4;0;0;0;3.75;6.75;8.25
'11000223;5.6;4.75;2;0;0;0;4;5.5;7.25
'11000224;7.2;5.25;3.2;0;0;0;4.5;7.75;8.75
'11000225;3;6.25;4.4;0;0;0;5.25;6.75;9.75
'11000226;4.2;5;0;0;0;0;3.5;5.5;0
'11000227;3.8;5.75;0;0;0;0;7.75;7.75;0
'11000228;4.6;6;2.4;0;0;0;4.5;5.25;7.75
'11000229;3;5;3.2;0;0;0;3.75;6.75;8.25
'11000230;2;3.5;2.6;0;0;0;3;6.75;7.75
'11000231;6;8.25;4.6;0;0;0;8.75;9.25;8.75
'11000232;6.8;7.5;2.8;0;0;0;5.25;6.5;8.75
'11000233;6.8;5.5;3.4;0;0;0;3.25;6.25;8.75
'11000234;6.8;7.25;3.4;0;0;0;5.75;7.75;8.75
'11000235;6.8;6.5;2;0;0;0;6;7.25;8.75
'11000236;5;5.75;3.6;0;0;0;4.75;7.25;9
'11000237;4.2;6.75;2.2;0;0;0;5;7.5;9.25
'11000238;7;5;0;4.5;4.5;4.75;0;0;0
'11000239;4.8;6.5;2.4;0;0;0;3.75;5.75;8.75
'11000240;3.6;6;2.8;0;0;0;6.25;7.25;8.25
'11000241;7.6;5.25;4.6;0;0;0;5.5;7.75;9.25
'11000242;7.8;6.75;3.8;7.5;8;7.75;0;0;0
'11000243;4.2;5.25;0;0;0;0;4.75;6.75;0
'11000244;5;5.25;3.2;0;0;0;6.25;8.25;8.5
'11000245;7;7;3.6;0;0;0;3.25;7;9.25
'11000246;3.2;5.25;0;0;0;0;3.75;6.75;0
'11000247;2.2;5;3.2;0;0;0;3.25;6;6.5
'11000248;6.4;7;2.8;0;0;0;4;6;8
'11000249;6.8;6.75;3.2;0;0;0;6.75;7.25;9
'11000250;7.4;6;3;0;0;0;6.25;8;8.5
'11000251;5.2;7;3.4;0;0;0;5.25;6.75;9
'11000252;4;6.5;2;0;0;0;6;7.25;8
'11000253;3.2;5;2.4;0;0;0;3.25;0;0
'11000254;5.8;6.5;3.4;0;0;0;6.5;7.75;9.25
'11000255;6.8;6;2.6;0;0;0;6;8.25;9
'11000256;9;5.25;1.8;7.75;8.5;5.75;0;0;0
'11000257;5.4;3.5;2.4;0;0;0;4.75;5.25;7.75
'11000258;7;4;4.6;0;0;0;6.25;6.75;8.25
'11000259;7.2;5.5;7.2;0;0;0;5.25;7.5;8.25
'11000260;0;7.5;0;0;0;0;5.5;8;0
'11000261;2.8;4.25;2.4;0;0;0;4;6.5;0
'11000262;4;4.25;3.2;0;0;0;4.75;5.5;10
'11000263;5.6;6;2.8;0;0;0;3.75;6.75;8
'11000264;8.2;7.25;5.8;0;0;0;7.25;8.5;9
'11000265;5.8;7;4.4;0;0;0;7;8;9.5
'11000266;5.4;4;3.4;0;0;0;3.5;6.5;7.25
'11000267;3.2;4.25;2.4;0;0;0;4.25;5.5;5.75
'11000268;3.6;4;3.6;0;0;0;4.75;8.5;8.5
'11000269;5.4;4.5;2.8;0;0;0;6;7.25;8.25
'11000270;3.4;3.75;3;0;0;0;4;5.5;7.75
'11000271;5.4;4.5;3.4;0;0;0;6.25;6.75;8
'11000272;6.8;6.5;3.2;0;0;0;9.5;8;9.75
'11000273;5.4;6.25;0;0;0;0;7;7.25;0
