No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32001336,8.4,0,0,8.25,9,0,0,0,0,25.65,16.65,17.4,8.4
'32002296,9.4,5.75,6.4,8.25,8,4.25,0,0,0,25.65,24.05,21.65,21.55
'32001142,9.4,7.25,3.8,7.5,8.75,4.25,0,0,0,25.65,20.7,22.4,20.45
'32002393,8.6,6,4,8.75,8.25,5.5,0,0,0,25.6,21.35,22.35,18.6
'32002385,8.6,6.5,3.4,8.5,8.5,4.75,0,0,0,25.6,20.5,21.85,18.5
'32000230,8.8,0,0,8.25,8.5,0,0,0,0,25.55,17.05,17.3,8.8
'32001226,8.8,5.75,2.6,8,8.75,5.5,0,0,0,25.55,19.4,23.05,17.15
'32001820,8.8,7.25,4.4,9.25,7.5,7,0,0,0,25.55,22.45,23.3,20.45
'32001423,8.8,6.75,2.6,8.25,8.5,5.25,0,0,0,25.55,19.65,22.55,18.15
'32002002,8.8,6,4.2,8.5,8.25,3.5,0,0,0,25.55,21.5,20.55,19
'32002850,8.8,5,5.4,8.5,8.25,5.25,0,0,0,25.55,22.7,22.3,19.2
'32001983,9,7.25,5,7.75,8.75,6,0,0,0,25.5,21.75,23.75,21.25
'32002701,9,5.75,5.6,8,8.5,4.25,0,0,0,25.5,22.6,21.75,20.35
'32002588,9,6,5.4,8.25,8.25,5.25,0,0,0,25.5,22.65,22.5,20.4
'32000097,9,4.75,3.2,8.5,8,5.25,0,0,0,25.5,20.7,22.25,16.95
'32002652,8.2,5.5,4.6,8.5,8.75,3.75,0,0,0,25.45,21.3,20.7,18.3
'32002167,9.2,0,0,8.25,8,0,0,0,0,25.45,17.45,17.2,9.2
'32002546,9.2,4,0,8,8.25,5.25,0,0,0,25.45,17.2,22.7,13.2
'32002575,9.2,5.25,4.2,8.5,7.75,5,0,0,0,25.45,21.9,21.95,18.65
'32000648,9.2,7,5,7.75,8.5,4,0,0,0,25.45,21.95,21.7,21.2
'32000333,9.4,6.75,1.8,8,8,4,0,0,0,25.4,19.2,21.4,17.95
'32000282,8.6,6.5,4.6,7.75,9,6,0,0,0,25.35,20.95,23.6,19.7
'32001451,8.6,5.25,2,8.5,8.25,4.75,0,0,0,25.35,19.1,21.6,15.85
'32002403,8.8,6.25,3.8,8.75,7.75,4.75,0,0,0,25.3,21.35,21.3,18.85
'32002327,8.8,5.25,4.6,8.5,8,5.5,0,0,0,25.3,21.9,22.3,18.65
'32001104,8.8,5,3.2,8,8.5,4.75,0,0,0,25.3,20,22.05,17
