No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32000754,8.8,8.25,7.6,0,0,0,3.5,8.75,9.5,8.8,16.4,8.8,24.65
'32002771,9,6,9.6,8.5,7,5.5,0,0,0,24.5,27.1,21.5,24.6
'32000629,9.4,8.75,6.4,7,9.75,9.75,0,0,0,26.15,22.8,28.9,24.55
'32000829,8.4,8.75,7.4,0,0,0,5.5,8,9.5,8.4,15.8,8.4,24.55
'32000884,9.2,6.75,8.6,8.25,5.5,5.75,0,0,0,22.95,26.05,20.45,24.55
'32002133,8,7.5,9,0,0,0,4.25,5.75,6.25,8,17,8,24.5
'32002832,8.6,8.25,7.6,0,0,0,7,8.25,9.25,8.6,16.2,8.6,24.45
'32002076,8.4,9.25,6.8,0,0,0,9,8.75,9,8.4,15.2,8.4,24.45
'32002693,9.6,6,8.8,6.75,9.75,10,0,0,0,26.1,25.15,29.35,24.4
'32002024,8.4,8,8,0,0,0,6,7,9,8.4,16.4,8.4,24.4
'32000969,8.4,8,8,0,0,0,5.75,7.5,9.25,8.4,16.4,8.4,24.4
'32000757,8.6,7.75,8,0,0,0,4.5,7.5,8.25,8.6,16.6,8.6,24.35
'32001751,8.4,8.75,7.2,0,0,0,5.5,6.5,7.25,8.4,15.6,8.4,24.35
'32000265,8.4,8.75,7.2,0,0,0,7.25,8.25,8.75,8.4,15.6,8.4,24.35
'32000631,7.8,8.5,8,0,0,0,4.25,6.5,8.5,7.8,15.8,7.8,24.3
'32001131,7.8,8.5,8,5.25,9.25,9,0,0,0,22.3,21.05,26.05,24.3
'32001588,8,8.5,7.8,0,0,0,7,7.5,8,8,15.8,8,24.3
'32002854,8.6,8.5,7.2,0,0,0,4,6,8,8.6,15.8,8.6,24.3
'32002134,7.8,9.25,7.2,0,0,0,5,6.5,7.5,7.8,15,7.8,24.25
'32000214,8,8.25,8,8,5.25,4,0,0,0,21.25,24,17.25,24.25
'32002838,7.6,7.25,9.4,0,0,0,4,7,6.75,7.6,17,7.6,24.25
'32001061,8.6,7.5,8,8,7.5,6,0,0,0,24.1,24.6,22.1,24.1
'32001199,8.6,6.5,9,8.75,4.75,6.25,0,0,0,22.1,26.35,19.6,24.1
'32002555,8.6,8.5,7,0,0,0,6,8,7,8.6,15.6,8.6,24.1
'32002460,8.6,7.5,8,7.25,5.5,5.5,0,0,0,21.35,23.85,19.6,24.1
'32002329,9,6.5,8.6,9,5,5.25,0,0,0,23,26.6,19.25,24.1
'32002614,8.8,7.5,7.8,8.25,7.75,6,0,0,0,24.8,24.85,22.55,24.1
'32000480,8.4,8.25,7.4,0,0,0,0,0,0,8.4,15.8,8.4,24.05
'32000196,9,8.25,6.8,7.5,3.25,4.75,0,0,0,19.75,23.3,17,24.05
'32001924,8,8.25,7.8,0,0,0,4,5.5,8.5,8,15.8,8,24.05
'32002657,9.8,6,8.2,8.25,8.5,6.5,0,0,0,26.55,26.25,24.8,24
'32001635,8.6,9,6.4,0,0,0,6,6.5,8.5,8.6,15,8.6,24
