No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32002346,7,7.25,7.6,0,0,0,9,7.25,9.75,7,14.6,7,21.85
'32002742,8,8.25,5.6,0,0,0,5.75,7,7.25,8,13.6,8,21.85
'32000231,8.4,8.25,5.2,0,0,0,5.75,7.5,8.5,8.4,13.6,8.4,21.85
'32000779,7.8,9.25,4.8,0,0,0,9.25,7.75,8.75,7.8,12.6,7.8,21.85
'32000188,8.4,7.25,6.2,6,5.25,5,0,0,0,19.65,20.6,18.65,21.85
'32002461,9.8,6.25,5.8,8.5,9,5.5,0,0,0,27.3,24.1,24.3,21.85
'32000718,5.4,9,7.4,0,0,0,9.75,10,9.25,5.4,12.8,5.4,21.8
'32000871,7.4,8,6.4,0,0,0,5,8.75,9.25,7.4,13.8,7.4,21.8
'32000777,8.6,8,5.2,0,0,0,5.25,8,8,8.6,13.8,8.6,21.8
'32000893,8.4,7,6.4,7.25,6.25,6,0,0,0,21.9,22.05,20.65,21.8
'32002855,7.6,8,6.2,0,0,0,3.25,6.75,8.5,7.6,13.8,7.6,21.8
'32001883,8.4,6.75,6.6,6.25,9.25,8,0,0,0,23.9,21.25,25.65,21.75
'32000666,8.6,7.5,5.6,7.75,8.25,6.5,0,0,0,24.6,21.95,23.35,21.7
'32001963,7.8,7.5,6.4,0,0,0,6,5.5,6.75,7.8,14.2,7.8,21.7
'32002322,8.8,6.5,6.4,9,9.5,6.5,0,0,0,27.3,24.2,24.8,21.7
'32001505,6.8,8.5,6.4,0,0,0,7,7.25,8,6.8,13.2,6.8,21.7
'32000010,8,6.5,7.2,0,0,0,5.5,6.25,7.5,8,15.2,8,21.7
'32001014,8.2,7.5,6,7.25,8,8.25,0,0,0,23.45,21.45,24.45,21.7
'32000906,8.2,8.25,5.2,0,0,0,6,8.5,9.25,8.2,13.4,8.2,21.65
'32001974,8.2,8.25,5.2,0,0,0,6.75,8.25,9.5,8.2,13.4,8.2,21.65
'32000758,7.2,8.25,6.2,0,0,0,6.75,8.25,9.25,7.2,13.4,7.2,21.65
'32001966,9,5.25,7.4,8,5.5,6.25,0,0,0,22.5,24.4,20.75,21.65
'32002096,8,7.25,6.4,0,0,0,7.25,7.5,8.75,8,14.4,8,21.65
'32002772,8.2,7.25,6.2,0,0,0,8,8.25,8.5,8.2,14.4,8.2,21.65
'32000912,7.2,8.25,6.2,0,0,0,5.25,7.5,7.75,7.2,13.4,7.2,21.65
'32001903,8,6.25,7.4,7.25,4.5,6.25,0,0,0,19.75,22.65,18.75,21.65
'32000502,7.4,8.25,6,0,0,0,0,0,0,7.4,13.4,7.4,21.65
'32000796,8,7.25,6.4,8,5.75,5.25,0,0,0,21.75,22.4,19,21.65
'32002448,7.6,6,8,0,0,0,4.75,6.25,8.25,7.6,15.6,7.6,21.6
'32002279,6.8,7,7.8,0,0,0,0,0,0,6.8,14.6,6.8,21.6
'32002635,7.6,8,6,5,6.25,4.25,0,0,0,18.85,18.6,18.1,21.6
'32002300,8.8,5,7.8,8.25,5.75,4.75,0,0,0,22.8,24.85,19.3,21.6
'32000900,8.8,6.75,6,7.75,8.5,5.75,0,0,0,25.05,22.55,23.05,21.55
'32000530,7.2,8.75,5.6,0,0,0,10,9.5,9.75,7.2,12.8,7.2,21.55
'32002294,8.8,5.75,7,8.25,5.75,5.25,0,0,0,22.8,24.05,19.8,21.55
'32002296,9.4,5.75,6.4,8.25,8,4.25,0,0,0,25.65,24.05,21.65,21.55
'32001612,8.4,7.75,5.4,0,0,0,4.25,6.5,9.5,8.4,13.8,8.4,21.55
'32000054,7.6,7.75,6.2,0,0,0,5,7.25,8.75,7.6,13.8,7.6,21.55
'32000671,8.2,7.75,5.6,7.5,4.5,5.25,0,0,0,20.2,21.3,17.95,21.55
'32000577,7.8,8.5,5.2,0,0,0,4,6.25,8.25,7.8,13,7.8,21.5
'32002248,8.6,8.5,4.4,0,0,0,0,0,0,8.6,13,8.6,21.5
'32001977,5.2,8.5,7.8,0,0,0,8,7.75,9,5.2,13,5.2,21.5
'32002663,8.2,5.25,8,4.75,2.5,5.25,0,0,0,15.45,20.95,15.95,21.45
'32002617,8.4,6.25,6.8,5.75,8.5,8,0,0,0,22.65,20.95,24.9,21.45
'32001207,7.4,7.25,6.8,0,0,0,7.25,8.25,9.5,7.4,14.2,7.4,21.45
'32001731,8.6,7.25,5.6,8,8.5,6.5,0,0,0,25.1,22.2,23.6,21.45
'32000347,8.2,7.25,6,8.25,8.75,4.25,0,0,0,25.2,22.45,21.2,21.45
'32002452,9.8,6.25,5.4,8.5,8,4,0,0,0,26.3,23.7,21.8,21.45
'32000677,9,6,6.4,4,9,8.75,0,0,0,22,19.4,26.75,21.4
'32002258,7.2,8,6.2,0,0,0,0,0,0,7.2,13.4,7.2,21.4
'32002339,8.4,7,6,7,7,7.25,0,0,0,22.4,21.4,22.65,21.4
'32002521,7.4,8,6,0,0,0,5.75,6.5,7.75,7.4,13.4,7.4,21.4
'32002725,9.4,7,5,8.75,9,6.25,0,0,0,27.15,23.15,24.65,21.4
'32002677,7.6,7.75,6,0,0,0,6.5,8,9,7.6,13.6,7.6,21.35
'32001535,9,6.75,5.6,8.25,8.75,4.25,0,0,0,26,22.85,22,21.35
'32002343,7.8,6.75,6.8,4.5,8.5,8.75,0,0,0,20.8,19.1,25.05,21.35
'32000709,7.4,7.75,6.2,0,0,0,5.25,7.25,9.5,7.4,13.6,7.4,21.35
'32001922,9.2,7.5,4.6,6.5,8.5,7.5,0,0,0,24.2,20.3,25.2,21.3
'32002637,7.6,7.5,6.2,0,0,0,5.5,7,8,7.6,13.8,7.6,21.3
'32001837,9,7.5,4.8,5.25,8.75,7.75,0,0,0,23,19.05,25.5,21.3
'32000342,8.2,5.5,7.6,8.25,4.25,5.75,0,0,0,20.7,24.05,18.2,21.3
'32001800,8.8,7.5,5,7.25,8,6.75,0,0,0,24.05,21.05,23.55,21.3
'32002830,6.6,8.25,6.4,0,0,0,5,6.5,8.5,6.6,13,6.6,21.25
'32001983,9,7.25,5,7.75,8.75,6,0,0,0,25.5,21.75,23.75,21.25
'32002341,8.6,7.25,5.4,7.5,8.75,8.25,0,0,0,24.85,21.5,25.6,21.25
'32001607,7.6,8.25,5.4,0,0,0,4.25,6,7,7.6,13,7.6,21.25
'32002760,9,5.25,7,8,4.5,5.25,0,0,0,21.5,24,18.75,21.25
'32001589,7,8.25,6,0,0,0,9.75,9,8.75,7,13,7,21.25
'32002054,6.2,7.25,7.8,0,0,0,7.75,5,7.25,6.2,14,6.2,21.25
'32002598,8.8,6.25,6.2,8.5,2.75,5,0,0,0,20.05,23.5,16.55,21.25
'32002426,8,6.25,7,7,5.25,5,0,0,0,20.25,22,18.25,21.25
'32002605,9,7.25,5,5.75,8.75,8.5,0,0,0,23.5,19.75,26.25,21.25
'32000686,7.8,6.25,7.2,6.5,6.75,6.75,0,0,0,21.05,21.5,21.3,21.25
'32001514,7.2,8,6,0,0,0,3.25,6.25,6.5,7.2,13.2,7.2,21.2
'32001722,7.8,7,6.4,0,0,0,5.5,6.5,8.5,7.8,14.2,7.8,21.2
'32000192,7.6,8,5.6,0,0,0,7.25,9,9.5,7.6,13.2,7.6,21.2
'32001486,8.8,6,6.4,7.5,6.5,3.75,0,0,0,22.8,22.7,19.05,21.2
'32001998,9,5,7.2,8.5,8.5,6,0,0,0,26,24.7,23.5,21.2
'32000009,7.4,8,5.8,0,0,0,9.25,8.5,9,7.4,13.2,7.4,21.2
'32000648,9.2,7,5,7.75,8.5,4,0,0,0,25.45,21.95,21.7,21.2
'32002709,8.6,7.75,4.8,5.5,8.5,8,0,0,0,22.6,18.9,25.1,21.15
'32000145,8.6,6.75,5.8,7.75,4.25,5.75,0,0,0,20.6,22.15,18.6,21.15
'32000682,9.8,5.75,5.6,9,8.75,5.25,0,0,0,27.55,24.4,23.8,21.15
'32002323,8.8,5.75,6.6,3.25,8.75,8,0,0,0,20.8,18.65,25.55,21.15
'32001692,7.2,8.75,5.2,0,0,0,7.75,7.5,9.25,7.2,12.4,7.2,21.15
'32002866,8,6.75,6.4,0,0,0,5.5,6.75,8.5,8,14.4,8,21.15
'32002790,7.8,7.5,5.8,0,0,0,6.75,6.5,7.25,7.8,13.6,7.8,21.1
'32000103,8.6,7.5,5,6.5,8,5.75,0,0,0,23.1,20.1,22.35,21.1
'32001277,8,7.5,5.6,0,0,0,6.5,8.5,9,8,13.6,8,21.1
'32000346,8,7.5,5.6,0,0,0,0,0,0,8,13.6,8,21.1
'32000229,8.8,7.5,4.8,0,0,0,8.75,9,8.5,8.8,13.6,8.8,21.1
'32002645,7.6,7.25,6.2,0,0,0,2.5,5.75,7.5,7.6,13.8,7.6,21.05
'32002020,9,5.25,6.8,7.75,5.5,3.75,0,0,0,22.25,23.55,18.25,21.05
'32002642,7.4,7.25,6.4,0,0,0,5.5,6.75,8,7.4,13.8,7.4,21.05
'32002795,9.8,6,5.2,8.75,9.5,5.25,0,0,0,28.05,23.75,24.55,21
'32000623,7,7,7,0,0,0,5.75,8.5,8.5,7,14,7,21
'32001286,9.2,6,5.8,9,5,5,0,0,0,23.2,24,19.2,21
'32002810,7.8,8,5.2,0,0,0,4.25,5.75,8.25,7.8,13,7.8,21
'32002314,9.4,6,5.6,8.25,8.75,5,0,0,0,26.4,23.25,23.15,21
'32002490,8.4,7,5.6,7,7.5,3.25,0,0,0,22.9,21,19.15,21
'32000667,8.2,6,6.8,7.75,6.25,4.5,0,0,0,22.2,22.75,18.95,21
'32001222,8.8,6.75,5.4,6.75,8.25,5.5,0,0,0,23.8,20.95,22.55,20.95
'32001523,7.6,7.75,5.6,0,0,0,6.25,8,9.5,7.6,13.2,7.6,20.95
'32002213,8.2,7.75,5,0,0,0,9.5,0,0,8.2,13.2,8.2,20.95
'32000675,7.4,5.75,7.8,6.25,7.5,5.75,0,0,0,21.15,21.45,20.65,20.95
'32001489,7.6,7.75,5.6,0,0,0,3,4.5,5.75,7.6,13.2,7.6,20.95
'32000424,7.8,7.75,5.4,0,0,0,8.5,9,9,7.8,13.2,7.8,20.95
'32000642,8.2,7.75,5,0,0,0,4.75,6.75,6.25,8.2,13.2,8.2,20.95
'32001141,6.6,7.5,6.8,0,0,0,4.5,6.25,7.5,6.6,13.4,6.6,20.9
'32000705,8.8,8.5,3.6,0,0,0,7.75,9.25,8.5,8.8,12.4,8.8,20.9
'32000914,8,8.5,4.4,0,0,0,5.75,6.75,8.25,8,12.4,8,20.9
'32001177,9.2,8.25,3.4,6.5,8,9.25,0,0,0,23.7,19.1,26.45,20.85
'32002362,8,7.25,5.6,0,0,0,5.25,6.5,8,8,13.6,8,20.85
'32001005,8,7.25,5.6,7.25,7.75,6.25,0,0,0,23,20.85,22,20.85
'32002720,8.6,7.25,5,7.5,8.5,5.75,0,0,0,24.6,21.1,22.85,20.85
'32002767,7.2,7.25,6.4,0,0,0,2.5,6.75,7.25,7.2,13.6,7.2,20.85
'32000621,8.8,7.25,4.8,9.25,9,6.75,0,0,0,27.05,22.85,24.55,20.85
'32002025,8.8,8.25,3.8,0,0,0,6,6.25,8,8.8,12.6,8.8,20.85
'32000768,8.4,7.25,5.2,0,0,0,5.5,6,8.5,8.4,13.6,8.4,20.85
'32000384,8.2,8,4.6,0,0,0,9,8.75,7.5,8.2,12.8,8.2,20.8
'32002754,8.4,7,5.4,0,0,0,7.75,7,7.75,8.4,13.8,8.4,20.8
'32001850,8,6,6.8,4.75,8,5.5,0,0,0,20.75,19.55,21.5,20.8
'32001426,8.4,7,5.4,8.25,7.75,5,0,0,0,24.4,22.05,21.15,20.8
'32000547,7.8,7,6,0,0,0,0,0,0,7.8,13.8,7.8,20.8
'32001629,7.2,7,6.6,0,0,0,4.75,6.25,7.75,7.2,13.8,7.2,20.8
'32002472,7.4,7,6.4,0,0,0,3.75,6,7,7.4,13.8,7.4,20.8
'32001890,7,7.75,6,0,0,0,2.75,5.75,7.75,7,13,7,20.75
'32002619,8.4,6.75,5.6,4.5,7.75,6,0,0,0,20.65,18.5,22.15,20.75
'32000753,7.6,7.75,5.4,0,0,0,7.75,8,9,7.6,13,7.6,20.75
'32002624,7.4,7.75,5.6,0,0,0,4,5.5,7.75,7.4,13,7.4,20.75
'32002377,8.6,6.75,5.4,9.25,9,4,0,0,0,26.85,23.25,21.6,20.75
'32000858,8.4,7.75,4.6,0,0,0,8,8,8.75,8.4,13,8.4,20.75
'32001798,8.6,7.75,4.4,0,0,0,6.75,7,9,8.6,13,8.6,20.75
'32002674,9.2,6.75,4.8,7.75,8.25,6.25,0,0,0,25.2,21.75,23.7,20.75
'32002305,8.4,6.75,5.6,7,8,4.25,0,0,0,23.4,21,20.65,20.75
'32000826,7,7.5,6.2,0,0,0,6.75,8,8,7,13.2,7,20.7
'32002672,6.8,8.5,5.4,0,0,0,2,6.5,8,6.8,12.2,6.8,20.7
'32000731,7.6,8.5,4.6,0,0,0,6.75,8,9.5,7.6,12.2,7.6,20.7
'32000868,7.6,7.5,5.6,0,0,0,8,8,9.25,7.6,13.2,7.6,20.7
'32002789,6.6,7.5,6.6,3.5,7,8,0,0,0,17.1,16.7,21.6,20.7
'32000020,7.2,6.5,7,0,0,0,4.5,6.75,8,7.2,14.2,7.2,20.7
'32001561,9.4,4.5,6.8,8,4.5,5.25,0,0,0,21.9,24.2,19.15,20.7
'32001724,7,7.5,6.2,0,0,0,6.5,7.75,7,7,13.2,7,20.7
'32002865,8.2,6.5,6,0,0,0,5.75,8,8,8.2,14.2,8.2,20.7
'32001004,8.6,5.5,6.6,8,5,4.5,0,0,0,21.6,23.2,18.1,20.7
'32000343,7.2,7.25,6.2,0,0,0,4.25,7.5,9,7.2,13.4,7.2,20.65
'32000517,9,6.25,5.4,7.5,7.25,7.25,0,0,0,23.75,21.9,23.5,20.65
'32002704,7.4,5.25,8,8.25,7,4.5,0,0,0,22.65,23.65,18.9,20.65
'32002318,9,6.25,5.4,7.75,7.5,5,0,0,0,24.25,22.15,21.5,20.65
'32000264,7.8,8.25,4.6,0,0,0,4.5,8.25,8,7.8,12.4,7.8,20.65
'32000106,7.8,7,5.8,4.5,7.75,7,0,0,0,20.05,18.1,22.55,20.6
'32000518,8.6,6,6,8,7.75,6.5,0,0,0,24.35,22.6,22.85,20.6
'32001959,9.2,6,5.4,8.75,8,6,0,0,0,25.95,23.35,23.2,20.6
'32002467,8.4,8,4.2,0,0,0,4.75,6.75,8.25,8.4,12.6,8.4,20.6
'32000407,7.8,9,3.8,0,0,0,6.25,8.5,9,7.8,11.6,7.8,20.6
'32000079,8.6,6.75,5.2,0,0,0,0,0,0,8.6,13.8,8.6,20.55
'32001954,7.8,5.75,7,7.5,8,4.75,0,0,0,23.3,22.3,20.55,20.55
'32002847,8,6.75,5.8,0,0,0,4.75,6.25,7,8,13.8,8,20.55
'32000917,6.6,8.75,5.2,0,0,0,8.25,8.75,9,6.6,11.8,6.6,20.55
'32001510,5.8,7.5,7.2,0,0,0,6.75,6,8,5.8,13,5.8,20.5
'32001921,7.8,7.5,5.2,0,0,0,3.5,7,7.5,7.8,13,7.8,20.5
'32000736,8.2,7.5,4.8,6,7,5.5,0,0,0,21.2,19,20.7,20.5
'32000895,8.8,7.5,4.2,2.75,8.25,8,0,0,0,19.8,15.75,25.05,20.5
'32000267,7,7.5,6,0,0,0,5.75,8.5,8.25,7,13,7,20.5
'32001691,6.2,8.5,5.8,0,0,0,4.25,5.75,6.25,6.2,12,6.2,20.5
'32000221,7.6,6.5,6.4,6.5,2.75,4,0,0,0,16.85,20.5,14.35,20.5
'32001228,8.4,7.25,4.8,0,0,0,5.75,7.25,8.75,8.4,13.2,8.4,20.45
'32001690,8,8.25,4.2,0,0,0,5.75,7.5,8,8,12.2,8,20.45
'32001806,8.2,5.25,7,0,0,0,7.5,8.5,9,8.2,15.2,8.2,20.45
'32001849,8.6,6.25,5.6,6.25,5.75,5.5,0,0,0,20.6,20.45,19.85,20.45
'32001975,7.8,8.25,4.4,0,0,0,6.5,8.5,8.25,7.8,12.2,7.8,20.45
'32001142,9.4,7.25,3.8,7.5,8.75,4.25,0,0,0,25.65,20.7,22.4,20.45
'32001820,8.8,7.25,4.4,9.25,7.5,7,0,0,0,25.55,22.45,23.3,20.45
'32000057,8.6,7,4.8,0,0,0,5.25,6.75,7.5,8.6,13.4,8.6,20.4
'32001694,7.2,9,4.2,0,0,0,5.75,5.5,9.25,7.2,11.4,7.2,20.4
'32001454,7.4,6,7,5.25,2,5.25,0,0,0,14.65,19.65,14.65,20.4
'32002588,9,6,5.4,8.25,8.25,5.25,0,0,0,25.5,22.65,22.5,20.4
'32002729,7.8,6,6.6,8.5,4,3.75,0,0,0,20.3,22.9,15.55,20.4
'32002349,8.2,7,5.2,0,0,0,6,7.75,8.5,8.2,13.4,8.2,20.4
'32000928,7.2,8,5.2,0,0,0,5.25,7,8.5,7.2,12.4,7.2,20.4
'32002135,8,7,5.4,0,0,0,7,7.75,8.5,8,13.4,8,20.4
'32000404,7.4,7,6,0,0,0,5.25,7,8,7.4,13.4,7.4,20.4
'32001848,9,5.75,5.6,8.75,8.5,6.25,0,0,0,26.25,23.35,23.75,20.35
'32001865,8.2,7.75,4.4,0,0,0,6.75,6.75,7.5,8.2,12.6,8.2,20.35
'32000996,9,5.75,5.6,8,3.75,4.5,0,0,0,20.75,22.6,17.25,20.35
'32001175,7,8.75,4.6,0,0,0,6.5,7,9,7,11.6,7,20.35
'32002739,7.8,7.75,4.8,0,0,0,7.75,8.5,9,7.8,12.6,7.8,20.35
'32002701,9,5.75,5.6,8,8.5,4.25,0,0,0,25.5,22.6,21.75,20.35
'32001363,7.2,6.75,6.4,0,0,0,0,0,0,7.2,13.6,7.2,20.35
'32000911,6.6,8.5,5.2,0,0,0,5.5,7.5,8.75,6.6,11.8,6.6,20.3
'32000765,7.8,7.5,5,0,0,0,8,8.75,9.75,7.8,12.8,7.8,20.3
'32001792,7,6.5,6.8,0,0,0,6,7.25,8,7,13.8,7,20.3
'32002093,7.6,7.5,5.2,0,0,0,5,7,7.5,7.6,12.8,7.6,20.3
'32000993,9.4,5.5,5.4,8,9.5,5.25,0,0,0,26.9,22.8,24.15,20.3
'32002317,8.8,5.5,6,7.5,7.5,6.25,0,0,0,23.8,22.3,22.55,20.3
'32002477,7,7.5,5.8,0,0,0,6.75,8,8.75,7,12.8,7,20.3
'32002551,8.2,6.5,5.6,0,0,0,7,7.25,8.5,8.2,13.8,8.2,20.3
'32000998,9,6.25,5,7,8.75,5.25,0,0,0,24.75,21,23,20.25
'32000492,8.6,7.25,4.4,7.75,8.25,4.25,0,0,0,24.6,20.75,21.1,20.25
'32002373,7.8,6.25,6.2,6.75,3.75,4,0,0,0,18.3,20.75,15.55,20.25
'32002689,7,7.25,6,0,0,0,4.25,7.25,8.25,7,13,7,20.25
'32000015,6.6,8.25,5.4,0,0,0,7,8.5,9.25,6.6,12,6.6,20.25
'32001965,7,8,5.2,0,0,0,9.5,9,8.75,7,12.2,7,20.2
'32001854,7.8,7,5.4,7,6.75,7.75,0,0,0,21.55,20.2,22.3,20.2
'32002331,8.4,7,4.8,7.25,7.5,5.25,0,0,0,23.15,20.45,21.15,20.2
'32000929,8,9,3.2,0,0,0,3.5,7,9.25,8,11.2,8,20.2
'32001636,8.2,8,4,0,0,0,3,6.25,7.25,8.2,12.2,8.2,20.2
'32000037,8.2,6,6,8,8.75,8.25,0,0,0,24.95,22.2,25.2,20.2
'32000091,9,6.75,4.4,8.25,8.75,4.75,0,0,0,26,21.65,22.5,20.15
